time,open,high,low,close,vwap,volume,count,sma,ema,rsi,macd,macdsignal,macdhist,upperband,middleband,lowerband
1702394940,41161.0,41252.3,41161.0,41242.6,41229.1,3.09875767,37,,41242.6,,,,,,,
1702395000,41235.4,41301.2,41235.3,41299.6,41267.3,0.12774624,28,,41248.02857142857,,,,,,,
1702395060,41299.1,41308.6,41281.3,41308.5,41292.6,0.59286047,17,,41253.787755102036,,,,,,,
1702395120,41319.6,41341.2,41315.6,41341.2,41327.4,1.0140354,22,,41262.1127308066,,,,,,,
1702395180,41340.3,41342.0,41310.8,41310.8,41315.2,0.58979692,20,,41266.74961358692,,,,,,,
1702395240,41310.9,41327.1,41297.1,41327.1,41311.7,6.88666609,38,,41272.497269435786,,,,,,,
1702395300,41334.5,41335.5,41306.9,41306.9,41312.1,0.16944714,8,,41275.77371996571,,,,,,,
1702395360,41286.7,41322.0,41261.1,41273.5,41279.9,0.66601081,39,,41275.557175207075,,,,,,,
1702395420,41261.2,41295.9,41260.8,41277.9,41283.7,0.30861209,15,,41275.780301377825,,,,,,,
1702395480,41267.9,41301.3,41267.9,41299.1,41296.3,0.41858837,15,,41278.00122505613,,,,,,,
1702395540,41296.1,41330.9,41283.1,41330.9,41327.7,0.51816654,13,,41283.03920362221,,,,,,,
1702395600,41314.7,41363.9,41314.7,41363.9,41331.6,2.6031442,25,,41290.74023184867,,,,,,,
1702395660,41363.9,41399.9,41363.9,41399.9,41392.6,0.88719794,27,,41301.13640024404,,,,,,,
1702395720,41400.1,41411.4,41400.0,41411.3,41410.9,0.05635025,14,,41311.62817164937,,,,,,,
1702395780,41411.4,41411.4,41369.9,41369.9,41409.2,2.04069461,12,,41317.177869587525,66.83417085427212,,,,,,
1702395840,41369.9,41369.9,41335.1,41355.9,41357.3,0.87629712,22,,41320.865691531566,64.27132040772476,,,,,,
1702395900,41355.9,41363.3,41355.9,41361.9,41361.8,2.28838844,20,,41324.77372090951,64.89266210115281,,,,,,
1702395960,41410.2,41411.6,41410.2,41411.6,41411.5,0.0110546,10,,41333.0428903467,69.60752830327148,,,,,,
1702396020,41411.5,41411.6,41361.9,41368.6,41407.8,0.16539302,14,,41336.429281742254,61.86610210497773,,,,,,
1702396080,41369.9,41371.3,41361.9,41362.1,41363.4,0.09711499,12,41336.159999999996,41338.874112052516,60.76594525375468,,,,41427.01032525033,41336.16,41245.309674749675
1702396140,41362.1,41382.3,41362.0,41382.1,41376.5,9.14617152,31,41343.135,41342.99086328561,62.949182685352746,,,,41425.1751188414,41343.135,41261.094881158606
1702396200,41383.0,41383.0,41355.9,41355.9,41368.0,0.09604119,16,41345.95,41344.22030487745,58.36711029378638,,,,41425.65203258766,41345.950000000004,41266.247967412346
1702396260,41355.9,41356.0,41316.7,41323.5,41350.5,2.58126893,31,41346.7,41342.24694250817,53.20905710856084,,,,41425.25230104074,41346.700000000004,41268.14769895927
1702396320,41327.8,41332.4,41291.8,41299.7,41305.9,0.36730304,20,41344.625,41338.194852745495,49.73231161790308,,,,41425.797603118546,41344.62500000001,41263.45239688147
1702396380,41301.7,41309.6,41283.3,41289.2,41302.5,2.5717988,36,41343.545,41333.52867629354,48.234884795976754,,,,41427.03084251535,41343.545,41260.05915748465
1702396440,41289.2,41303.1,41283.1,41283.1,41285.6,0.46085271,14,41341.344999999994,41328.725945217964,47.34304193492146,,,,41428.67860120742,41341.345,41254.01139879258
1702396500,41283.0,41295.3,41260.8,41295.2,41269.7,0.87978438,20,41340.76,41325.532998054354,49.343823688445795,,,,41429.15892308282,41340.759999999995,41252.36107691717
1702396560,41295.4,41330.1,41295.4,41329.8,41329.3,1.05322225,13,41343.575,41325.93937919203,54.65016383465537,,,,41426.65276778802,41343.575,41260.49723221197
1702396620,41329.8,41348.8,41317.0,41317.0,41333.3,1.92340825,21,41345.53,41325.08800974517,52.46080868981855,,,,41424.04899388616,41345.53,41267.01100611384
